time(mins),Power (kW)
11.06104901,31.93933121
11.10232158,32.08579618
11.14359415,32.37872611
11.18486672,32.52519108
11.22613929,33.87592357
11.26741187,34.67334395
11.30868444,35.24292994
11.34995701,37.34226115
11.39122958,38.69299363
11.43250215,39.5066879
11.47377472,39.73452229
11.51504729,39.76707006
11.55631986,39.79961783
11.59759243,39.79961783
11.638865,39.78334395
11.68013758,39.76707006
11.72141015,39.75079618
11.76268272,39.73452229
11.80395529,39.75079618
11.84522786,39.78334395
11.88650043,39.81589172
11.927773,39.83216561
11.96904557,39.83216561
12.01031814,39.83216561
12.05159071,39.84843949
12.09286328,39.86471338
12.13413586,39.86471338
12.17540843,39.84843949
12.216681,39.83216561
12.25795357,39.81589172
12.29922614,39.81589172
12.34049871,39.73452229
12.38177128,39.66942675
12.42304385,39.6206051
12.46431642,39.5066879
12.50558899,39.42531847
12.54686156,39.3927707
12.58813414,39.36022293
12.62940671,39.2788535
12.67067928,39.23003185
12.71195185,39.21375796
12.75322442,39.29512739
12.79449699,39.36022293
12.83576956,39.34394904
12.87704213,39.44159236
12.9183147,39.49041401
12.95958727,39.58805732
13.00085985,39.68570064
13.04213242,39.73452229
13.08340499,39.81589172
13.12467756,39.79961783
13.16595013,39.78334395
13.2072227,39.76707006
13.24849527,39.76707006
13.28976784,39.78334395
13.33104041,39.81589172
13.37231298,39.84843949
13.41358555,39.86471338
13.45485813,39.84843949
13.4961307,39.86471338
13.53740327,39.88098726
13.57867584,39.84843949
13.61994841,39.81589172
13.66122098,39.78334395
13.70249355,39.76707006
13.74376612,39.76707006
13.78503869,39.83216561
13.82631126,39.89726115
13.86758383,39.89726115
13.90885641,39.91353503
13.95012898,39.92980892
13.99140155,39.92980892
14.03267412,39.9460828
14.07394669,39.96235669
14.11521926,39.96235669
14.15649183,39.96235669
14.1977644,39.96235669
14.23903697,39.96235669
14.28030954,39.9460828
14.32158212,39.92980892
14.36285469,39.92980892
14.40412726,39.91353503
14.44539983,39.89726115
14.4866724,39.89726115
14.52794497,39.83216561
14.56921754,39.75079618
14.61049011,39.75079618
14.65176268,39.78334395
14.69303525,39.78334395
14.73430782,39.84843949
14.7755804,39.91353503
14.81685297,39.9460828
14.85812554,39.99490446
14.89939811,39.99490446
14.94067068,39.99490446
14.98194325,39.99490446
15.02321582,39.97863057
15.06448839,39.96235669
15.10576096,39.96235669
15.14703353,39.9460828
15.1883061,39.92980892
15.22957868,39.92980892
15.27085125,39.91353503
15.31212382,39.88098726
15.35339639,39.84843949
15.39466896,39.83216561
15.43594153,39.84843949
15.4772141,39.88098726
15.51848667,39.88098726
15.55975924,39.88098726
15.60103181,39.89726115
15.64230439,39.89726115
15.68357696,39.91353503
15.72484953,39.9460828
15.7661221,39.96235669
15.80739467,39.96235669
15.84866724,39.9460828
15.88993981,39.91353503
15.93121238,39.89726115
15.97248495,39.91353503
16.01375752,39.92980892
16.05503009,39.9460828
16.09630267,39.96235669
16.13757524,39.97863057
16.17884781,39.97863057
16.22012038,39.96235669
16.26139295,39.96235669
16.30266552,39.96235669
16.34393809,39.97863057
16.38521066,39.99490446
16.42648323,39.99490446
16.4677558,39.99490446
16.50902837,39.97863057
16.55030095,39.97863057
16.59157352,39.97863057
16.63284609,39.96235669
16.67411866,39.96235669
16.71539123,39.96235669
16.7566638,39.9460828
16.79793637,39.9460828
16.83920894,39.97863057
16.88048151,39.99490446
16.92175408,39.97863057
16.96302666,39.96235669
17.00429923,39.97863057
17.0455718,40.01117834
17.08684437,40.02745223
17.12811694,40.01117834
17.16938951,39.99490446
17.21066208,39.99490446
17.25193465,39.99490446
17.29320722,39.96235669
17.33447979,39.88098726
17.37575236,39.83216561
17.41702494,39.84843949
17.45829751,39.83216561
17.49957008,39.73452229
17.54084265,39.73452229
17.58211522,39.63687898
