Time_mins,power_kw,,,
28.02,156.14,,,
28.07,155.87,,,
28.13,157.50,,,
28.19,158.30,,,
28.25,157.76,,,
28.30,157.22,,,
28.36,156.68,,,
28.42,156.14,,,
28.48,156.29,,,
28.53,157.37,,,
28.59,157.13,,,
28.65,156.81,,,
28.71,157.35,,,
28.76,156.47,,,
28.82,157.56,,,
28.88,156.02,,,
28.94,156.30,,,
28.99,155.22,,,
29.05,156.24,,,
29.11,158.20,,,
29.17,156.58,,,
29.22,157.57,,,
29.28,157.57,,,
29.34,156.70,,,
29.40,156.70,,,
29.45,156.70,,,
29.51,157.79,,,
29.57,155.86,,,
29.63,156.13,,,
29.68,156.40,,,
29.74,156.67,,,
29.80,156.30,,,
29.86,155.39,,,
29.91,157.01,,,
29.97,155.31,,,
30.03,155.85,,,
30.09,156.21,,,
30.14,156.57,,,
30.20,156.93,,,
30.26,157.29,,,
30.32,157.68,,,
30.38,158.23,,,
30.43,158.12,,,
30.49,157.58,,,
30.55,157.04,,,
30.61,156.70,,,
30.66,156.70,,,
30.72,156.50,,,
30.78,156.23,,,
30.84,155.95,,,
30.89,157.86,,,
30.95,156.78,,,
31.01,157.57,,,
31.07,157.40,,,
31.12,156.86,,,
31.18,155.73,,,
31.24,155.12,,,
31.30,156.74,,,
31.35,157.31,,,
31.41,156.77,,,
31.47,156.70,,,
31.53,156.56,,,
31.58,156.02,,,
31.64,155.83,,,
31.70,155.88,,,
31.76,156.96,,,
31.81,157.17,,,
31.87,158.25,,,
31.93,157.56,,,
31.99,157.34,,,
32.04,156.26,,,
32.10,157.25,,,
32.16,156.71,,,
32.22,155.30,,,
32.27,156.91,,,
32.33,157.45,,,
32.39,156.66,,,
32.45,154.96,,,
32.50,154.96,,,
32.56,156.41,,,
32.62,155.87,,,
32.68,157.57,,,
32.73,157.40,,,
32.79,156.86,,,
32.85,156.70,,,
32.91,156.70,,,
32.96,156.70,,,
33.02,156.70,,,
33.08,156.70,,,
33.14,156.70,,,
33.19,156.70,,,
33.25,156.70,,,
33.31,157.06,,,
33.37,157.55,,,
33.42,157.01,,,
33.48,156.47,,,
33.54,155.93,,,
33.60,156.24,,,
33.65,155.08,,,
33.71,155.62,,,
33.77,155.51,,,
33.83,154.97,,,
33.88,154.43,,,
33.94,153.58,,,
34.00,156.82,,,
34.06,150.61,,,
34.11,156.45,,,
34.17,154.82,,,
34.23,156.72,,,
34.29,158.34,,,
34.34,156.20,,,
34.40,157.46,,,
34.46,157.10,,,
34.52,156.73,,,
34.57,156.37,,,
34.63,156.01,,,
34.69,156.10,,,
34.75,156.64,,,
34.80,156.70,,,
34.86,156.85,,,
34.92,157.39,,,
34.98,156.19,,,
35.03,156.73,,,
35.09,157.27,,,
35.15,157.10,,,
35.21,156.02,,,
35.26,157.13,,,
35.32,158.21,,,
35.38,157.13,,,
35.44,157.57,,,
35.50,157.57,,,
35.55,157.04,,,
35.61,154.96,,,
35.67,154.96,,,
35.73,157.12,,,
35.78,157.14,,,
35.84,154.44,,,
35.90,154.11,,,
35.96,155.73,,,
36.01,155.25,,,
36.07,156.53,,,
36.13,155.98,,,
36.19,155.83,,,
36.24,155.83,,,
36.30,155.83,,,
36.36,155.56,,,
36.42,155.02,,,
36.47,155.44,,,
36.53,155.83,,,
36.59,155.83,,,
36.65,156.19,,,
36.70,156.67,,,
36.76,156.13,,,
36.82,154.80,,,
36.88,156.42,,,
36.93,154.96,,,
36.99,155.20,,,
37.05,156.28,,,
37.11,151.49,,,
37.16,155.81,,,
37.22,152.84,,,
37.28,150.07,,,
37.34,155.48,,,
37.39,156.70,,,
37.45,154.87,,,
37.51,154.33,,,
37.57,155.83,,,
37.62,155.83,,,
37.68,154.60,,,
37.74,156.88,,,
37.80,157.42,,,
37.85,153.80,,,
37.91,156.70,,,
37.97,156.70,,,
38.03,156.97,,,
38.08,157.51,,,
38.14,155.53,,,
38.20,155.11,,,
38.26,155.65,,,
38.31,156.19,,,
38.37,156.70,,,
38.43,156.70,,,
38.49,156.70,,,
38.54,156.70,,,
38.60,156.25,,,
38.66,155.83,,,
38.72,155.83,,,
38.77,156.16,,,
38.83,156.70,,,
38.89,154.42,,,
38.95,155.41,,,
39.00,154.33,,,
39.06,153.67,,,
39.12,151.92,,,
39.18,154.63,,,
39.23,152.10,,,
39.29,154.81,,,
39.35,154.13,,,
39.41,156.02,,,
39.46,157.91,,,
39.52,158.05,,,
39.58,157.51,,,
39.64,156.97,,,
39.69,156.43,,,
39.75,155.89,,,
39.81,157.96,,,
39.87,157.42,,,
39.92,156.88,,,
39.98,156.34,,,
40.04,155.86,,,
40.10,156.40,,,
40.15,156.70,,,
40.21,156.70,,,
40.27,156.70,,,
40.33,156.70,,,
40.38,156.70,,,
40.44,156.37,,,
40.50,155.83,,,
40.56,156.91,,,
40.62,157.12,,,
40.67,158.20,,,
40.73,158.02,,,
40.79,156.61,,,
40.85,156.07,,,
40.90,154.72,,,
40.96,157.42,,,
41.02,152.35,,,
41.08,154.27,,,
41.13,154.81,,,
41.19,157.09,,,
41.25,157.57,,,
41.31,157.57,,,
41.36,157.57,,,
41.42,157.57,,,
41.48,157.57,,,
41.54,157.87,,,
41.59,158.95,,,
41.65,157.87,,,
41.71,158.38,,,
41.77,157.30,,,
41.82,156.94,,,
41.88,157.48,,,
41.94,157.57,,,
42.00,156.19,,,
42.05,157.82,,,
42.11,158.11,,,
42.17,157.57,,,
42.23,157.03,,,
42.28,156.70,,,
42.34,156.70,,,
42.40,157.12,,,
42.46,157.48,,,
42.51,156.94,,,
42.57,156.70,,,
42.63,156.70,,,
42.69,157.21,,,
42.74,157.57,,,
42.80,157.57,,,
42.86,157.18,,,
42.92,156.76,,,
42.97,157.30,,,
43.03,157.57,,,
43.09,157.57,,,
43.15,157.57,,,
43.20,157.72,,,
43.26,158.26,,,
43.32,157.36,,,
43.38,157.54,,,
43.43,157.00,,,
43.49,157.96,,,
43.55,156.88,,,
43.61,157.61,,,
43.66,157.82,,,
43.72,158.90,,,
43.78,159.31,,,
43.84,157.57,,,
43.89,158.12,,,
43.95,157.13,,,
44.01,158.21,,,
44.07,158.87,,,
44.12,156.79,,,
44.18,157.33,,,
44.24,158.40,,,
44.30,156.78,,,
44.35,157.93,,,
44.41,157.39,,,
44.47,156.85,,,
44.53,157.26,,,
44.58,157.57,,,
44.64,157.57,,,
44.70,157.03,,,
44.76,155.95,,,
44.81,157.96,,,
44.87,157.88,,,
44.93,158.96,,,
44.99,158.95,,,
45.04,158.48,,,
45.10,159.02,,,
45.16,158.83,,,
45.22,157.75,,,
45.27,158.48,,,
45.33,158.07,,,
45.39,156.45,,,
45.45,157.50,,,
45.50,159.31,,,
45.56,159.31,,,
45.62,156.47,,,
45.68,158.09,,,
45.74,157.57,,,
45.79,157.48,,,
45.85,156.94,,,
45.91,156.40,,,
45.97,155.86,,,
46.02,156.35,,,
46.08,157.76,,,
46.14,158.30,,,
46.20,158.18,,,
46.25,157.82,,,
46.31,157.46,,,
46.37,157.10,,,
46.43,156.74,,,
46.48,157.19,,,
46.54,157.73,,,
46.60,158.27,,,
46.66,157.07,,,
46.71,157.57,,,
46.77,157.57,,,
46.83,157.82,,,
46.89,158.36,,,
46.94,157.53,,,
47.00,156.58,,,
47.06,156.04,,,
47.12,158.78,,,
47.17,159.32,,,
47.23,159.86,,,
47.29,159.75,,,
47.35,158.67,,,
47.40,158.46,,,
47.46,155.93,,,
47.52,156.47,,,
47.58,156.40,,,
47.63,155.86,,,
47.69,155.83,,,
47.75,156.02,,,
47.81,156.56,,,
47.86,156.90,,,
47.92,157.17,,,
47.98,157.44,,,
48.04,157.85,,,
48.09,158.39,,,
48.15,155.73,,,
