Time_mins,Power (kW)
10.43786982,30.9306383
10.49112426,30.88787234
10.5443787,30.84510638
10.59763314,30.84510638
10.65088757,30.84510638
10.70414201,30.8593617
10.75739645,30.87361702
10.81065089,30.87361702
10.86390533,30.8593617
10.91715976,30.83085106
10.9704142,30.81659574
11.02366864,30.80234043
11.07692308,30.80234043
11.13017751,30.83085106
11.18343195,30.88787234
11.23668639,30.88787234
11.28994083,31.01617021
11.34319527,31.10170213
11.3964497,31.5293617
11.44970414,31.81446809
11.50295858,31.95702128
11.55621302,32.45595745
11.60946746,32.45595745
11.66272189,32.31340426
11.71597633,32.1993617
11.76923077,32.1993617
11.82248521,32.01404255
11.87573964,31.8287234
11.92899408,31.87148936
11.98224852,31.78595745
12.03550296,31.77170213
12.0887574,31.81446809
12.14201183,31.8287234
12.19526627,31.81446809
12.24852071,31.81446809
12.30177515,32.62702128
12.35502959,32.6412766
12.40828402,34.36617021
12.46153846,36.86085106
12.5147929,35.89148936
12.56804734,36.46170213
12.62130178,38.25787234
12.67455621,38.15808511
12.72781065,38.72829787
12.78106509,39.66914894
12.83431953,39.35553191
12.88757396,39.36978723
12.9408284,39.68340426
12.99408284,39.69765957
13.04733728,39.72617021
13.10059172,39.74042553
13.15384615,39.74042553
13.20710059,39.74042553
13.26035503,39.75468085
13.31360947,39.76893617
13.36686391,39.76893617
13.42011834,39.76893617
13.47337278,39.79744681
13.52662722,39.82595745
13.57988166,39.82595745
13.63313609,39.82595745
13.68639053,39.84021277
13.73964497,39.85446809
13.79289941,39.85446809
13.84615385,39.84021277
13.89940828,39.82595745
13.95266272,39.82595745
14.00591716,39.84021277
14.0591716,39.84021277
14.11242604,39.84021277
14.16568047,39.85446809
14.21893491,39.88297872
14.27218935,39.91148936
14.32544379,39.91148936
14.37869822,39.88297872
14.43195266,39.85446809
14.4852071,39.85446809
14.53846154,39.8687234
14.59171598,39.89723404
14.64497041,39.91148936
14.69822485,39.91148936
14.75147929,39.91148936
14.80473373,39.89723404
14.85798817,39.88297872
14.9112426,39.88297872
14.96449704,39.88297872
15.01775148,39.91148936
15.07100592,39.94
15.12426036,39.94
15.17751479,39.94
15.23076923,39.92574468
15.28402367,39.91148936
15.33727811,39.91148936
15.39053254,39.88297872
15.44378698,39.84021277
15.49704142,39.76893617
15.55029586,39.72617021
15.6035503,39.69765957
15.65680473,39.6406383
15.71005917,39.59787234
15.76331361,39.58361702
15.81656805,39.58361702
15.86982249,39.59787234
15.92307692,39.62638298
15.97633136,39.6406383
16.0295858,39.62638298
16.08284024,39.61212766
16.13609467,39.58361702
16.18934911,39.55510638
16.24260355,39.5693617
16.29585799,39.58361702
16.34911243,39.58361702
16.40236686,39.59787234
16.4556213,39.62638298
16.50887574,39.62638298
16.56213018,39.62638298
16.61538462,39.62638298
16.66863905,39.59787234
16.72189349,39.55510638
16.77514793,39.54085106
16.82840237,39.61212766
16.8816568,39.68340426
16.93491124,39.66914894
16.98816568,39.65489362
17.04142012,39.65489362
17.09467456,39.6406383
17.14792899,39.6406383
17.20118343,39.61212766
17.25443787,39.55510638
17.30769231,39.54085106
17.36094675,39.49808511
17.41420118,39.44106383
17.46745562,39.41255319
17.52071006,39.39829787
17.5739645,39.39829787
17.62721893,39.39829787
17.68047337,39.42680851
17.73372781,39.45531915
17.78698225,39.42680851
17.84023669,39.39829787
17.89349112,39.39829787
17.94674556,39.39829787
18,39.41255319
18.05325444,39.41255319
18.10650888,39.39829787
18.15976331,39.39829787
18.21301775,39.39829787
18.26627219,39.39829787
18.31952663,39.38404255
18.37278107,39.35553191
18.4260355,39.35553191
18.47928994,39.36978723
18.53254438,39.36978723
18.58579882,39.38404255
18.63905325,39.39829787
18.69230769,39.39829787
18.74556213,39.39829787
18.79881657,39.38404255
18.85207101,39.36978723
18.90532544,39.36978723
18.95857988,39.35553191
19.01183432,39.32702128
19.06508876,39.31276596
19.1183432,39.31276596
19.17159763,39.31276596
19.22485207,39.32702128
19.27810651,39.3412766
19.33136095,39.3412766
19.38461538,39.3412766
19.43786982,39.3412766
19.49112426,39.3412766
19.5443787,39.35553191
19.59763314,39.36978723
19.65088757,39.36978723
19.70414201,39.36978723
19.75739645,39.36978723
19.81065089,39.36978723
19.86390533,39.35553191
19.91715976,39.3412766
19.9704142,39.3412766
20.02366864,39.35553191
20.07692308,39.38404255
20.13017751,39.39829787
20.18343195,39.39829787
20.23668639,39.39829787
20.28994083,39.36978723
20.34319527,39.3412766
20.3964497,39.3412766
20.44970414,39.3412766
20.50295858,39.35553191
20.55621302,39.36978723
20.60946746,39.36978723
20.66272189,39.36978723
20.71597633,39.38404255
20.76923077,39.39829787
20.82248521,39.38404255
20.87573964,39.36978723
20.92899408,39.36978723
20.98224852,39.38404255
21.03550296,39.39829787
21.0887574,39.39829787
21.14201183,39.39829787
21.19526627,39.38404255
21.24852071,39.36978723
21.30177515,39.36978723
21.35502959,39.36978723
21.40828402,39.38404255
21.46153846,39.39829787
21.5147929,39.39829787
21.56804734,39.41255319
21.62130178,39.42680851
21.67455621,39.41255319
21.72781065,39.39829787
21.78106509,39.38404255
21.83431953,39.36978723
21.88757396,39.36978723
21.9408284,39.38404255
21.99408284,39.39829787
22.04733728,39.39829787
22.10059172,39.39829787
22.15384615,39.38404255
22.20710059,39.36978723
22.26035503,39.36978723
22.31360947,39.39829787
22.36686391,39.42680851
22.42011834,39.42680851
22.47337278,39.41255319
22.52662722,39.39829787
22.57988166,39.41255319
22.63313609,39.42680851
22.68639053,39.42680851
22.73964497,39.42680851
22.79289941,39.39829787
22.84615385,39.38404255
22.89940828,39.39829787
22.95266272,39.41255319
23.00591716,39.42680851
23.0591716,39.41255319
23.11242604,39.41255319
23.16568047,39.42680851
23.21893491,39.42680851
23.27218935,39.42680851
23.32544379,39.41255319
23.37869822,39.38404255
23.43195266,39.35553191
23.4852071,39.3412766
23.53846154,39.31276596
23.59171598,39.29851064
23.64497041,39.3412766
23.69822485,39.36978723
23.75147929,39.36978723
23.80473373,39.38404255
23.85798817,39.39829787
23.9112426,39.39829787
23.96449704,39.39829787
24.01775148,39.38404255
24.07100592,39.38404255
24.12426036,39.38404255
24.17751479,39.36978723
24.23076923,39.36978723
24.28402367,39.35553191
24.33727811,39.3412766
24.39053254,39.3412766
24.44378698,39.3412766
24.49704142,39.3412766
24.55029586,39.35553191
24.6035503,39.38404255
24.65680473,39.38404255
24.71005917,39.38404255
24.76331361,39.42680851
24.81656805,39.45531915
24.86982249,39.45531915
24.92307692,39.45531915
24.97633136,39.44106383
25.0295858,39.42680851
25.08284024,39.42680851
25.13609467,39.42680851
25.18934911,39.41255319
25.24260355,39.39829787
25.29585799,39.39829787
25.34911243,39.39829787
25.40236686,39.38404255
25.4556213,39.36978723
25.50887574,39.36978723
25.56213018,39.36978723
25.61538462,39.38404255
25.66863905,39.38404255
25.72189349,39.35553191
25.77514793,39.3412766
25.82840237,39.3412766
25.8816568,39.35553191
25.93491124,39.39829787
25.98816568,39.42680851
26.04142012,39.41255319
26.09467456,39.38404255
